SrcIP,SrcPort,DstIP,DstPort,Proto,StartTime,EndTime,Duration,TotalPackets,TotalBytes,PacketsPerSec,BytesPerSec,FwdPackets,BwdPackets,FwdBytes,BwdBytes,FwdPktRatio,FwdByteRatio,DownUpByteRatio,DownUpPktRatio,PktLenMin,PktLenMax,PktLenMean,PktLenStd,PktLenCV,FwdPktLenMin,FwdPktLenMax,FwdPktLenMean,FwdPktLenStd,FwdPktLenCV,BwdPktLenMin,BwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenCV,PktLenEntropy,FwdPktLenEntropy,BwdPktLenEntropy,IATMin,IATMax,IATMean,IATStd,IATCV,FwdIATMin,FwdIATMax,FwdIATMean,FwdIATStd,FwdIATCV,BwdIATMin,BwdIATMax,BwdIATMean,BwdIATStd,BwdIATCV,ActiveMin,ActiveMax,ActiveMean,ActiveStd,ActiveCV,IdleMin,IdleMax,IdleMean,IdleStd,IdleCV,FwdActiveMin,FwdActiveMax,FwdActiveMean,FwdActiveStd,FwdActiveCV,FwdIdleMin,FwdIdleMax,FwdIdleMean,FwdIdleStd,FwdIdleCV,BwdActiveMin,BwdActiveMax,BwdActiveMean,BwdActiveStd,BwdActiveCV,BwdIdleMin,BwdIdleMax,BwdIdleMean,BwdIdleStd,BwdIdleCV,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,FwdTCP_FIN,FwdTCP_SYN,FwdTCP_RST,FwdTCP_PSH,FwdTCP_ACK,FwdTCP_URG,FwdTCP_ECE,FwdTCP_CWR,BwdTCP_FIN,BwdTCP_SYN,BwdTCP_RST,BwdTCP_PSH,BwdTCP_ACK,BwdTCP_URG,BwdTCP_ECE,BwdTCP_CWR
10.0.2.15,38880,13.107.246.35,443,6,1771377653.2897263,1771377653.2896562,-7.009506225585938e-05,2,114,0.0,0.0,1,1,54,60,0.5,0.47368421052631576,1.1111111111111112,1.0,54,60,57.0,4.242640687119285,0.07443229275647868,54,54,54.0,0.0,0.0,60,60,60.0,0.0,0.0,1.0,0.0,0.0,-7.009506225585938e-05,-7.009506225585938e-05,-7.009506225585938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
10.0.2.15,45874,8.8.4.4,443,6,1771377573.0184455,1771377681.551396,108.53295040130615,11,747,0.10135170894485901,6.8827024165281525,5,6,270,477,0.45454545454545453,0.3614457831325301,1.7666666666666666,1.2,54,127,67.90909090909089,25.45762968327784,0.37487808101212355,54,54,54.0,0.0,0.0,60,127,79.5,30.683871985132516,0.38596065390103795,1.676737030052133,0.0,1.2516291673878228,5.030632019042969e-05,45.0558865070343,10.853295040130616,18.52075806853957,1.7064640738188832,4.995190858840942,45.05624008178711,27.13290971517563,20.97965922355778,0.7732181857305082,0.001361846923828125,45.05651044845581,21.70651936531067,21.848148814516478,1.0065247424896755,8.249282836914062e-05,0.001361846923828125,0.0006349563598632812,0.00048135215519707063,0.7580869893179988,4.995140552520752,45.0558865070343,27.13244390487671,20.979580511899233,0.7732285593384539,0.0,0.0,0.0,0.0,0.0,4.995190858840942,45.05624008178711,27.13290971517563,20.97965922355778,0.7732181857305082,0.0,0.001361846923828125,0.000272369384765625,0.0006090364593257331,2.2360679774997894,4.995223045349121,45.05651044845581,27.13280874490738,20.979943580020656,0.7732315433048719,1,0,0,2,11,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,6,0,0,0
10.0.2.15,39016,20.189.173.14,443,6,1771377565.6122944,1771377701.0110483,135.39875388145447,55,22372,0.4062075788980606,165.23047191104385,26,29,13651,8721,0.4727272727272727,0.6101823708206687,0.638854296388543,1.1153846153846154,54,1514,406.76363636363635,562.5991917031614,1.3831108324545807,54,1514,525.0384615384615,612.4505191944394,1.166486960593028,60,1494,300.7241379310344,500.88399687464874,1.6655929261970894,3.3313647540203695,3.006628179013871,1.7989940035610852,0.0,46.33516812324524,2.5073843311380455,9.79118561422348,3.904940097388054,7.152557373046875e-07,46.33549952507019,4.0645475101470945,12.692039917800116,3.122620632706246,0.0,46.335384130477905,4.831914152417864,13.288226872604756,2.7500958116061307,0.0,0.6459462642669678,0.14949369430541992,0.28093630038381134,1.8792518419529483,9.30481505393982,46.33516812324524,33.66282135248184,17.20109774486865,0.5109820583591836,0.0,0.6459462642669678,0.18663668632507324,0.3098569682799752,1.660214689732992,9.30481505393982,46.33549952507019,33.622380336125694,21.06692371819656,0.6265744277350025,0.0,0.4984781742095947,0.11973490715026855,0.21612355325028704,1.8050170864462252,9.347903966903687,46.335384130477905,33.67373043298721,17.180887546838967,0.5102163415196895,0,2,1,16,54,0,0,0,0,1,0,10,25,0,0,0,0,1,1,6,29,0,0,0
10.0.2.15,50262,184.24.107.187,443,6,1771377575.065869,1771377717.0338671,141.9679980278015,24,3026,0.16905218312157994,21.31466275524587,11,13,1606,1420,0.4583333333333333,0.5307336417713153,0.8841843088418431,1.1818181818181819,54,526,126.08333333333334,127.40995683795389,1.0105217991113329,54,526,146.00000000000003,150.6691740204346,1.0319806439755794,60,415,109.23076923076923,107.35389594401768,0.9828173572339647,2.8291722720787558,2.2221915755066783,1.505876255604107,2.384185791015625e-07,45.63673377037048,6.172521653382674,14.200983424301493,2.30067778158689,3.838539123535156e-05,45.639416456222534,14.19679980278015,19.14224756365904,1.348349475204294,2.384185791015625e-07,45.63696837425232,11.830615083376568,18.174657906985058,1.5362394752004593,0.0002346038818359375,0.02636551856994629,0.00512385368347168,0.010470632507649617,2.0435073197787363,3.8912339210510254,45.63673377037048,28.387450981140137,17.914781447321513,0.6310810174264542,0.0,0.025140047073364258,0.004190007845560709,0.010263381239882,2.4494897427831783,3.8929688930511475,45.639416456222534,28.38857159614563,17.91484349726276,0.6310582917703084,0.0,0.025948762893676758,0.00485682487487793,0.01041149232578767,2.1436828780138693,3.8912339210510254,45.63696837425232,28.387648010253905,17.914855312078792,0.631079239308863,1,0,0,10,24,0,0,0,1,0,0,6,11,0,0,0,0,0,0,4,13,0,0,0
10.0.2.15,50262,184.24.107.187,443,6,1771377717.0341141,1771377717.0341141,0.0,1,60,0.0,0.0,1,0,60,0,1.0,1.0,0.0,0.0,60,60,60.0,0.0,0.0,60,60,60.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10.0.2.15,50262,184.24.107.187,443,6,1771377717.0341275,1771377717.0341144,-1.3113021850585938e-05,2,114,0.0,0.0,1,1,54,60,0.5,0.47368421052631576,1.1111111111111112,1.0,54,60,57.0,4.242640687119285,0.07443229275647868,54,54,54.0,0.0,0.0,60,60,60.0,0.0,0.0,1.0,0.0,0.0,-1.3113021850585938e-05,-1.3113021850585938e-05,-1.3113021850585938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
10.0.2.15,45874,8.8.4.4,443,6,1771377681.5942848,1771377730.7966113,49.20232653617859,4,222,0.08129696869229934,4.5119817624226135,3,1,162,60,0.75,0.7297297297297297,0.37037037037037035,0.3333333333333333,54,60,55.5,3.0,0.05405405405405406,54,54,54.0,0.0,0.0,60,60,60.0,0.0,0.0,0.8112781244591328,0.0,0.0,0.0010769367218017578,45.02421712875366,16.40077551205953,24.87640867656886,1.516782463016897,4.178109407424927,45.02421712875366,24.601163268089294,28.882559754827746,1.174032278070848,0.0,0.0,0.0,0.0,0.0,0.0,0.0010769367218017578,0.00035897890726725257,0.000621769706232438,1.7320508075688774,4.177032470703125,45.02421712875366,24.600624799728394,28.883321264086643,1.1740889306358404,0.0,0.0,0.0,0.0,0.0,4.178109407424927,45.02421712875366,24.601163268089294,28.882559754827746,1.174032278070848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0
2001:4860:4860::8844,443,fd00::1be9:ab1d:6ff6:11d7,58506,6,1771377730.8140807,1771377730.816123,0.0020422935485839844,2,168,979.2911510623395,82260.45668923651,1,1,94,74,0.5,0.5595238095238095,0.7872340425531915,1.0,74,94,84.0,14.142135623730951,0.16835875742536846,94,94,94.0,0.0,0.0,74,74,74.0,0.0,0.0,1.0,0.0,0.0,0.0020422935485839844,0.0020422935485839844,0.0020422935485839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020422935485839844,0.0020422935485839844,0.0020422935485839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2001:4860:4860::8888,443,fd00::1be9:ab1d:6ff6:11d7,35070,6,1771377730.8162,1771377730.8226554,0.006455421447753906,2,168,309.8171074013887,26024.637021716648,1,1,94,74,0.5,0.5595238095238095,0.7872340425531915,1.0,74,94,84.0,14.142135623730951,0.16835875742536846,94,94,94.0,0.0,0.0,74,74,74.0,0.0,0.0,1.0,0.0,0.0,0.006455421447753906,0.006455421447753906,0.006455421447753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006455421447753906,0.006455421447753906,0.006455421447753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
fe80::2,0,fe80::8ad1:c17d:42b2:d04,0,58,1771377568.4099212,1771377568.4124682,0.002547025680541992,2,172,785.229617148741,67529.74707479173,1,1,86,86,0.5,0.5,1.0,1.0,86,86,86.0,0.0,0.0,86,86,86.0,0.0,0.0,86,86,86.0,0.0,0.0,0.0,0.0,0.0,0.002547025680541992,0.002547025680541992,0.002547025680541992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002547025680541992,0.002547025680541992,0.002547025680541992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
